File: ds2-linux
Build ID: 3a9eca411e2450065abaf1942fea5d6637aca50b
Type: cpu
Time: 2026-03-02 16:32:23 CST
Duration: 18.99s, Total samples = 410ms ( 2.16%)
Showing nodes accounting for 410ms, 100% of 410ms total
      flat  flat%   sum%        cum   cum%
         0     0% 43.90%       20ms  4.88%  DockSTARTer2/internal/tui.RenderCenteredButtons
         0     0% 43.90%       20ms  4.88%  DockSTARTer2/internal/tui.RenderCenteredButtonsCtx
         0     0% 43.90%       20ms  4.88%  DockSTARTer2/internal/tui/screens.(*MainMenuScreen).GetHitRegions
         0     0% 43.90%       20ms  4.88%  charm.land/lipgloss/v2.(*Compositor).Render
         0     0% 43.90%       20ms  4.88%  charm.land/lipgloss/v2.Style.applyMargins
         0     0% 43.90%       20ms  4.88%  github.com/go-git/go-billy/v5/helper/chroot.(*ChrootHelper).Open
         0     0% 43.90%       20ms  4.88%  regexp.(*Regexp).ReplaceAllStringFunc
         0     0% 43.90%       20ms  4.88%  regexp.(*Regexp).replaceAll
         0     0% 43.90%       20ms  4.88%  regexp.Compile (inline)
         0     0% 43.90%       20ms  4.88%  regexp.MustCompile
         0     0% 43.90%       20ms  4.88%  regexp.compile
         0     0% 43.90%       20ms  4.88%  regexp/syntax.(*parser).literal
         0     0% 43.90%       20ms  4.88%  regexp/syntax.(*parser).push
         0     0% 43.90%       20ms  4.88%  regexp/syntax.Parse (inline)
         0     0% 43.90%       20ms  4.88%  regexp/syntax.parse
         0     0% 43.90%       20ms  4.88%  runtime.(*mcache).refill
         0     0% 43.90%       20ms  4.88%  runtime.(*mcentral).cacheSpan
         0     0% 43.90%       20ms  4.88%  runtime.(*mcentral).grow
         0     0% 43.90%       20ms  4.88%  runtime.(*mheap).alloc
         0     0% 43.90%       20ms  4.88%  runtime.(*mheap).alloc.func1
         0     0% 43.90%       20ms  4.88%  runtime.(*mheap).allocSpan
      20ms  4.88% 48.78%       20ms  4.88%  runtime.futex
         0     0% 48.78%       20ms  4.88%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 48.78%       20ms  4.88%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 48.78%       20ms  4.88%  runtime.mallocgcSmallNoscan
         0     0% 48.78%       20ms  4.88%  runtime.netpollBreak
         0     0% 48.78%       20ms  4.88%  runtime.scanObject
         0     0% 48.78%       20ms  4.88%  runtime.write
      20ms  4.88% 53.66%       20ms  4.88%  runtime.write1
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.(*AppModel).Update
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.(*MenuModel).renderBorderWithTitle
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.HeaderModel.renderCenter
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.HeaderModel.renderVersions.func1
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.LogPanelModel.Layers
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.LogPanelModel.ViewString
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.MaintainBackground.func2
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.RenderBorderedBoxCtx
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.RenderThemeText.func1 (inline)
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui.RenderTopBorderBoxCtx
         0     0% 53.66%       10ms  2.44%  DockSTARTer2/internal/tui/screens.(*ConfigMenuScreen).Layers
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*Canvas).Compose
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*Canvas).SetCell
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*Compositor).AddLayers
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*Compositor).Draw
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*Layer).Draw (inline)
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.(*WrapWriter).Write
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.JoinVertical
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.NewCanvas
         0     0% 53.66%       10ms  2.44%  charm.land/lipgloss/v2.NewWrapWriter.func1
      10ms  2.44% 56.10%       10ms  2.44%  charm.land/lipgloss/v2.Style.GetBorderTopSize
         0     0% 56.10%       10ms  2.44%  charm.land/lipgloss/v2.Style.GetVerticalBorderSize
         0     0% 56.10%       10ms  2.44%  charm.land/lipgloss/v2.Wrap
         0     0% 56.10%       10ms  2.44%  charm.land/lipgloss/v2.alignTextHorizontal
         0     0% 56.10%       10ms  2.44%  crypto/tls.(*Conn).HandshakeContext (inline)
